id,created_at,lignes,colonnes,couleur_depart,joueur_courant,statut,resultat,confiance,coups,coups_sym,coups_can
18160,2026-03-14 20:41:41.684248,9,9,1,1,finished,rouge,2,6525566566556653333395878889889886999599963333821111112211221222747,4585544544554457777715232221221224111511147777289999998899889888363,4585544544554457777715232221221224111511147777289999998899889888363
17373,2026-03-14 17:28:05.136529,9,9,1,1,finished,rouge,2,862455665564444522265665444522292999459669299913111333311311173,248655445546666588845445666588818111651441811197999777799799937,248655445546666588845445666588818111651441811197999777799799937
17374,2026-03-14 17:28:05.420029,9,9,1,2,finished,jaune,2,977565547752354444755447477549578399999222222229933363,133545563358756666355663633561532711111888888881177747,133545563358756666355663633561532711111888888881177747
17375,2026-03-14 17:28:05.517804,9,9,1,2,finished,jaune,2,4413334523443143344311176677666776766776791111499993999955,6697776587667967766799934433444334344334319999611117111155,4413334523443143344311176677666776766776791111499993999955
18270,2026-03-14 20:42:03.721385,9,9,1,1,finished,rouge,2,824554456354666285997,286556654756444825113,286556654756444825113
18365,2026-03-14 20:42:21.586260,9,9,1,1,finished,rouge,2,63576357763556336557776655333357771111116611919999999988222222222444488,47534753347554774553334455777753339999994499191111111122888888888666622,47534753347554774553334455777753339999994499191111111122888888888666622
17378,2026-03-14 17:28:05.942913,9,9,1,2,finished,jaune,2,956765566577776966553556991233333365111122222211321139999777798882444484,154345544533334144557554119877777745999988888899789971111333312228666626,154345544533334144557554119877777745999988888899789971111333312228666626
21702,2026-03-14 21:05:53.917976,9,9,1,1,finished,rouge,2,973566556645546756556921613334444344363,137544554465564354554189497776666766747,137544554465564354554189497776666766747
32408,2026-03-14 21:34:51.782036,9,9,1,2,finished,jaune,2,415654556623635332136353352256662484,695456554487475778974757758854448626,415654556623635332136353352256662484
18580,2026-03-14 20:43:02.081564,9,9,1,1,finished,rouge,2,5164285885644383883341224436665533485884665563564379717,5946825225466727227769886674445577625226445547546731393,5164285885644383883341224436665533485884665563564379717
17382,2026-03-14 17:28:06.516835,9,9,1,2,finished,jaune,2,23323322432332262876678876774446677634474464276399111119999999111155,87787788678778848234432234336664433476636646834711999991111111999955,23323322432332262876678876774446677634474464276399111119999999111155
17383,2026-03-14 17:28:06.545706,9,9,1,2,finished,jaune,2,75685665456658888665588655682334442222224447774248213373,35425445654452222445522455428776668888886663336862897737,35425445654452222445522455428776668888886663336862897737
18640,2026-03-14 20:43:13.274374,9,9,1,1,finished,rouge,2,466877667756445557373,644233443354665553737,466877667756445557373
18693,2026-03-14 20:43:22.812487,9,9,1,2,finished,jaune,2,69545546784455466665596697858887787995886199333339334384,41565564326655644445514413252223323115224911777771776726,41565564326655644445514413252223323115224911777771776726
26677,2026-03-14 21:19:39.526672,9,9,1,1,finished,rouge,2,9752365567756674776355665599776333995367399811898,1358745543354436334755445511334777115743711299212,1358745543354436334755445511334777115743711299212
18794,2026-03-14 20:43:41.709194,9,9,1,1,finished,rouge,2,7756676675596977669979976679433333333222222224485,3354434435514133441131134431677777777888888886625,3354434435514133441131134431677777777888888886625
23941,2026-03-14 21:13:21.365280,9,9,1,2,finished,jaune,2,7745544563895333454477155477456656,3365566547215777656633955633654454,3365566547215777656633955633654454
22165,2026-03-14 21:07:30.370313,9,9,1,1,finished,rouge,2,745855475474455177445775747451111191118232222222888882889996636,365255635636655933665335363659999919992878888888222228221114474,365255635636655933665335363659999919992878888888222228221114474
